# l species scattering_weight beta_l
8 organic_carbon   2.729556486e-01 9.326078823e-01
9 organic_carbon   2.729556486e-01 7.437226377e-01
10 organic_carbon   2.729556486e-01 6.184895857e-01
11 organic_carbon   2.729556486e-01 4.836541633e-01
12 organic_carbon   2.729556486e-01 4.154152592e-01
13 organic_carbon   2.729556486e-01 3.178419098e-01
14 organic_carbon   2.729556486e-01 2.818007560e-01
15 organic_carbon   2.729556486e-01 2.118822050e-01
16 organic_carbon   2.729556486e-01 1.923378930e-01
17 organic_carbon   2.729556486e-01 1.430779105e-01
18 organic_carbon   2.729556486e-01 1.304921362e-01
19 organic_carbon   2.729556486e-01 9.859457147e-02
20 organic_carbon   2.729556486e-01 9.095332078e-02
21 organic_carbon   2.729556486e-01 6.969630048e-02
22 organic_carbon   2.729556486e-01 6.322535701e-02
23 organic_carbon   2.729556486e-01 4.964416657e-02
24 organic_carbon   2.729556486e-01 4.463346879e-02
25 organic_carbon   2.729556486e-01 3.590747407e-02
26 organic_carbon   2.729556486e-01 3.210631028e-02
27 organic_carbon   2.729556486e-01 2.639524416e-02
28 organic_carbon   2.729556486e-01 2.341027302e-02
29 organic_carbon   2.729556486e-01 1.940844982e-02
30 organic_carbon   2.729556486e-01 1.697679865e-02
31 organic_carbon   2.729556486e-01 1.417856108e-02
32 organic_carbon   2.729556486e-01 1.266717586e-02
33 organic_carbon   2.729556486e-01 1.067183765e-02
34 organic_carbon   2.729556486e-01 9.431611649e-03
35 organic_carbon   2.729556486e-01 7.917999566e-03
36 organic_carbon   2.729556486e-01 7.076950476e-03
37 organic_carbon   2.729556486e-01 6.018564700e-03
38 organic_carbon   2.729556486e-01 5.394559124e-03
39 organic_carbon   2.729556486e-01 4.585412864e-03
40 organic_carbon   2.729556486e-01 4.112562645e-03
41 organic_carbon   2.729556486e-01 3.490220108e-03
42 organic_carbon   2.729556486e-01 3.137109933e-03
43 organic_carbon   2.729556486e-01 2.693812984e-03
44 organic_carbon   2.729556486e-01 2.429642752e-03
45 organic_carbon   2.729556486e-01 2.101735396e-03
46 organic_carbon   2.729556486e-01 1.897066486e-03
47 organic_carbon   2.729556486e-01 1.649114485e-03
48 organic_carbon   2.729556486e-01 1.489513595e-03
49 organic_carbon   2.729556486e-01 1.299409681e-03
50 organic_carbon   2.729556486e-01 1.174366228e-03
51 organic_carbon   2.729556486e-01 1.029186548e-03
52 organic_carbon   2.729556486e-01 9.297719356e-04
53 organic_carbon   2.729556486e-01 8.182974962e-04
54 organic_carbon   2.729556486e-01 7.395150106e-04
55 organic_carbon   2.729556486e-01 6.529760442e-04
56 organic_carbon   2.729556486e-01 5.908206688e-04
57 organic_carbon   2.729556486e-01 5.231261668e-04
58 organic_carbon   2.729556486e-01 4.740806702e-04
59 organic_carbon   2.729556486e-01 4.208632667e-04
60 organic_carbon   2.729556486e-01 3.819951037e-04
61 organic_carbon   2.729556486e-01 3.400150097e-04
62 organic_carbon   2.729556486e-01 3.090490095e-04
63 organic_carbon   2.729556486e-01 2.758413111e-04
