# vza_deg vaz_deg case I Q U
 45.0 180.0           16 5.622175217e+00 -5.433578417e-02 0.000000000e+00
 45.0   0.0           24 5.626716137e+00 3.462282717e-01 0.000000000e+00
 45.0 180.0           24 5.621053219e+00 -5.489357188e-02 0.000000000e+00
 45.0   0.0           32 5.619947910e+00 3.460580707e-01 0.000000000e+00
 45.0 180.0           32 5.614801884e+00 -5.423289910e-02 0.000000000e+00
 45.0   0.0  untruncated 5.460883617e+00 3.393649459e-01 0.000000000e+00
 45.0 180.0  untruncated 5.458052158e+00 -5.290942267e-02 0.000000000e+00
 50.0   0.0            8 5.708469868e+00 4.084390402e-01 0.000000000e+00
 50.0 180.0            8 5.624501705e+00 -1.098783873e-02 0.000000000e+00
 50.0   0.0           12 5.710669994e+00 4.103530049e-01 0.000000000e+00
 50.0 180.0           12 5.619102001e+00 -4.690789804e-02 0.000000000e+00
 50.0   0.0           16 5.710892200e+00 4.111557007e-01 0.000000000e+00
 50.0 180.0           16 5.612773418e+00 -5.618805438e-02 0.000000000e+00
 50.0   0.0           24 5.710128784e+00 4.110307395e-01 0.000000000e+00
 50.0 180.0           24 5.614616394e+00 -5.285286903e-02 0.000000000e+00
 50.0   0.0           32 5.714025021e+00 4.111526012e-01 0.000000000e+00
 50.0 180.0           32 5.618486881e+00 -5.332781374e-02 0.000000000e+00
 50.0   0.0  untruncated 5.609979153e+00 4.077020586e-01 0.000000000e+00
 50.0 180.0  untruncated 5.516391277e+00 -5.251892284e-02 0.000000000e+00
 55.0   0.0            8 5.830428600e+00 4.896336794e-01 0.000000000e+00
 55.0 180.0            8 5.613798618e+00 9.276372148e-04 0.000000000e+00
 55.0   0.0           12 5.832278252e+00 4.878223836e-01 0.000000000e+00
 55.0 180.0           12 5.603130341e+00 -3.496176377e-02 0.000000000e+00
 55.0   0.0           16 5.833471775e+00 4.886519611e-01 0.000000000e+00
 55.0 180.0           16 5.605036259e+00 -3.552496061e-02 0.000000000e+00
 55.0   0.0           24 5.829200745e+00 4.885928333e-01 0.000000000e+00
 55.0 180.0           24 5.602844238e+00 -3.219852969e-02 0.000000000e+00
 55.0   0.0           32 5.836461544e+00 4.888025820e-01 0.000000000e+00
 55.0 180.0           32 5.609650135e+00 -3.253687918e-02 0.000000000e+00
 55.0   0.0  untruncated 5.977706432e+00 4.953913391e-01 0.000000000e+00
 55.0 180.0  untruncated 5.745530605e+00 -3.275906295e-02 0.000000000e+00
 60.0   0.0            8 6.008094311e+00 5.891464949e-01 0.000000000e+00
 60.0 180.0            8 5.590220928e+00 2.702414803e-02 0.000000000e+00
 60.0   0.0           12 6.009485245e+00 5.833871961e-01 0.000000000e+00
 60.0 180.0           12 5.582276344e+00 -4.082946980e-04 0.000000000e+00
 60.0   0.0           16 6.007668018e+00 5.833183527e-01 0.000000000e+00
 60.0 180.0           16 5.586586475e+00 6.343742833e-03 0.000000000e+00
 60.0   0.0           24 6.005359650e+00 5.835703611e-01 0.000000000e+00
 60.0 180.0           24 5.582578659e+00 6.565186195e-03 0.000000000e+00
 60.0   0.0           32 6.012732029e+00 5.836405158e-01 0.000000000e+00
 60.0 180.0           32 5.590420246e+00 6.746069528e-03 0.000000000e+00
 60.0   0.0  untruncated 5.947126865e+00 5.800085664e-01 0.000000000e+00
 60.0 180.0  untruncated 5.529720783e+00 7.215864956e-03 0.000000000e+00
 65.0   0.0            8 6.265663624e+00 7.118014693e-01 0.000000000e+00
 65.0 180.0            8 5.551510334e+00 7.338091731e-02 0.000000000e+00
 65.0   0.0           12 6.262346745e+00 7.030636072e-01 0.000000000e+00
 65.0 180.0           12 5.549852848e+00 5.902860686e-02 0.000000000e+00
 65.0   0.0           16 6.261779308e+00 7.020602822e-01 0.000000000e+00
 65.0 180.0           16 5.554463863e+00 6.654120237e-02 0.000000000e+00
 65.0   0.0           24 6.257178307e+00 7.018033266e-01 0.000000000e+00
 65.0 180.0           24 5.549655914e+00 6.491500139e-02 0.000000000e+00
 65.0   0.0           32 6.259460926e+00 7.017722130e-01 0.000000000e+00
 65.0 180.0           32 5.552090168e+00 6.488311291e-02 0.000000000e+00
 65.0   0.0  untruncated 6.191955090e+00 6.959196925e-01 0.000000000e+00
 65.0 180.0  untruncated 5.493365765e+00 6.500705332e-02 0.000000000e+00
 70.0   0.0            8 6.636538982e+00 8.650702238e-01 0.000000000e+00
 70.0 180.0            8 5.494677067e+00 1.478385478e-01 0.000000000e+00
 70.0   0.0           12 6.626750946e+00 8.551619053e-01 0.000000000e+00
 70.0 180.0           12 5.501727104e+00 1.457718164e-01 0.000000000e+00
 70.0   0.0           16 6.621398449e+00 8.534648418e-01 0.000000000e+00
 70.0 180.0           16 5.497971058e+00 1.483513862e-01 0.000000000e+00
 70.0   0.0           24 6.621278286e+00 8.530701399e-01 0.000000000e+00
 70.0 180.0           24 5.499399662e+00 1.473787427e-01 0.000000000e+00
 70.0   0.0           32 6.619787216e+00 8.528283238e-01 0.000000000e+00
 70.0 180.0           32 5.498041153e+00 1.472060829e-01 0.000000000e+00
 70.0   0.0  untruncated 6.658765793e+00 8.572570682e-01 0.000000000e+00
 70.0 180.0  untruncated 5.530303001e+00 1.482786834e-01 0.000000000e+00
