# Altitude-lognormal truth-map aerosol profiles
# Layer AOD is computed by exact CDF differences at the model boundaries.
# nlayer layer z_top_km z_bottom_km z_center_km dz_km species tau760 z_median_km sigma_ln_z z_mode_km layer_fraction layer_aod760
16 10 4.514123917 3.739643097 4.126883507 0.774481058 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 4.783356572830e-02 3.860571512897e-03
16 10 4.514123917 3.739643097 4.126883507 0.774481058 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 0.000000000000e+00 0.000000000000e+00
16 11 3.739643097 3.000677347 3.370160103 0.738965750 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 5.008030605544e-02 9.692898504946e-03
16 11 3.739643097 3.000677347 3.370160103 0.738965750 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 1.134280267717e-01 9.154596824465e-03
16 11 3.739643097 3.000677347 3.370160103 0.738965750 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 0.000000000000e+00 0.000000000000e+00
16 12 3.000677347 2.326044559 2.663361073 0.674632788 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 1.109737036259e-01 2.147863962279e-02
16 12 3.000677347 2.326044559 2.663361073 0.674632788 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 2.147217760254e-01 1.732985528260e-02
16 12 3.000677347 2.326044559 2.663361073 0.674632788 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 0.000000000000e+00 0.000000000000e+00
16 13 2.326044559 1.705426693 2.015735626 0.620617747 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 2.153828910100e-01 4.168673609843e-02
16 13 2.326044559 1.705426693 2.015735626 0.620617747 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 2.988558177839e-01 2.412018086114e-02
16 13 2.326044559 1.705426693 2.015735626 0.620617747 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 0.000000000000e+00 0.000000000000e+00
16 14 1.705426693 1.104040623 1.404733658 0.601386070 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 3.353205080315e-01 6.490031525323e-02
16 14 1.705426693 1.104040623 1.404733658 0.601386070 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 2.439506955539e-01 1.968887519606e-02
16 14 1.705426693 1.104040623 1.404733658 0.601386070 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 0.000000000000e+00 0.000000000000e+00
16 15 1.104040623 0.536622405 0.820331514 0.567418158 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 2.381110969832e-01 4.608571468002e-02
16 15 1.104040623 0.536622405 0.820331514 0.567418158 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 5.209231760152e-02 4.204288647756e-03
16 15 1.104040623 0.536622405 0.820331514 0.567418158 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 0.000000000000e+00 0.000000000000e+00
16 16 0.536622405 0.000000000 0.268311203 0.536622405 sulfate          0.1935471100 1.525651538 0.490000 1.200000000 1.648647366665e-02 3.190909332272e-03
16 16 0.536622405 0.000000000 0.268311203 0.536622405 organic_carbon   0.0807084200 2.112319568 0.400000 1.800000000 3.067010608093e-04 2.475335803024e-05
16 16 0.536622405 0.000000000 0.268311203 0.536622405 utls_sulfate     0.0057444777 12.120602005 0.100000 12.000000000 0.000000000000e+00 0.000000000000e+00
